Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
3/2/22,Drinks,2,2,1,41.00,20.50,100,41.00
3/2/22,General Food,2,7,3.5,217.00,108.50,100,217.00
3/2/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
3/2/22,Service Fees,3,0,0,1.08,0.36,0,0.00
3/3/22,Drinks,2,6,3,45.00,22.50,100,45.00
3/3/22,General Food,5,57,11.4,394.54,78.90,100,394.54
3/3/22,Meat/Fish,1,6,6,67.00,67.00,100,67.00
3/3/22,Service Fees,7,0,0,3.36,0.48,0,0.00
3/3/22,Snacks,1,3,3,3.00,3.00,100,3.00
3/4/22,General Food,10,53,5.3,419.89,41.98,100,419.89
3/4/22,Meat/Fish,2,5,2.5,80.00,40.00,100,80.00
3/4/22,Service Fees,10,0,0,3.62,0.36,0,0.00
3/5/22,Drinks,1,2,2,37.00,37.00,100,37.00
3/5/22,General Food,4,30,7.5,441.26,110.31,100,441.26
3/5/22,Meat/Fish,4,5,1.3,80.00,20.00,100,80.00
3/5/22,Service Fees,5,0,0,0.80,0.16,0,0.00
3/6/22,Cleaning&body,1,1,1,13.00,13.00,100,13.00
3/6/22,Drinks,2,6,3,45.00,22.50,100,45.00
3/6/22,General Food,12,58,4.8,535.33,44.61,100,535.33
3/6/22,Meat/Fish,5,5,1,80.00,16.00,100,80.00
3/6/22,Service Fees,12,0,0,1.94,0.16,0,0.00
3/7/22,Drinks,4,4,1,82.00,20.50,100,82.00
3/7/22,General Food,6,45,7.5,502.75,83.79,100,502.75
3/7/22,Meat/Fish,4,9,2.3,110.00,27.50,100,110.00
3/7/22,Service Fees,6,0,0,3.08,0.51,0,0.00
3/8/22,Drinks,6,10,1.7,119.00,19.83,100,119.00
3/8/22,General Food,11,70,6.4,689.00,62.63,100,689.00
3/8/22,Meat/Fish,6,9,1.5,130.00,21.66,100,130.00
3/8/22,Service Fees,12,0,0,6.68,0.55,0,0.00
3/8/22,Snacks,2,3,1.5,1.25,0.62,100,1.25
3/9/22,Drinks,1,1,1,36.00,36.00,100,36.00
3/9/22,General Food,7,51,7.3,494.47,70.63,100,494.47
3/9/22,Meat/Fish,2,8,4,90.00,45.00,100,90.00
3/9/22,Service Fees,7,0,0,1.20,0.17,0,0.00
3/9/22,Snacks,1,1,1,0.25,0.25,100,0.25
3/10/22,Cleaning&body,1,2,2,16.00,16.00,100,16.00
3/10/22,Drinks,3,5,1.7,114.00,38.00,100,114.00
3/10/22,General Food,15,127,8.5,1107.46,73.83,100,1107.46
3/10/22,Meat/Fish,5,7,1.4,120.00,24.00,100,120.00
3/10/22,Service Fees,18,0,0,5.69,0.31,0,0.00
3/10/22,Snacks,4,5,1.3,5.00,1.25,100,5.00
3/11/22,General Food,8,36,4.5,372.99,46.62,100,372.99
3/11/22,Meat/Fish,2,4,2,50.00,25.00,100,50.00
3/11/22,Pinless Recharge,2,2,1,25.00,12.50,0,0.00
3/11/22,Service Fees,10,0,0,2.30,0.23,0,0.00
3/12/22,Drinks,1,4,4,160.00,160.00,100,160.00
3/12/22,General Food,8,66,8.3,441.26,55.15,100,441.26
3/12/22,Meat/Fish,2,3,1.5,30.00,15.00,100,30.00
3/12/22,Service Fees,9,0,0,6.14,0.68,0,0.00
3/12/22,Snacks,1,2,2,2.00,2.00,100,2.00
3/13/22,Clothes,1,1,1,10.00,10.00,100,10.00
3/13/22,Drinks,1,1,1,1.00,1.00,100,1.00
3/13/22,General Food,3,11,3.7,121.00,40.33,100,121.00
3/13/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
3/13/22,Service Fees,3,0,0,0.80,0.26,0,0.00
3/14/22,Drinks,3,4,1.3,39.00,13.00,100,39.00
3/14/22,General Food,13,117,9,1273.93,97.99,100,1273.93
3/14/22,Household,1,1,1,4.00,4.00,100,4.00
3/14/22,Meat/Fish,9,13,1.4,200.00,22.22,100,200.00
3/14/22,Service Fees,14,0,0,7.32,0.52,0,0.00
3/15/22,Drinks,1,1,1,40.00,40.00,100,40.00
3/15/22,General Food,6,19,3.2,652.74,108.79,100,652.74
3/15/22,Service Fees,6,0,0,4.80,0.80,0,0.00
3/16/22,Drinks,1,1,1,1.00,1.00,100,1.00
3/16/22,General Food,5,35,7,232.75,46.55,100,232.75
3/16/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
3/16/22,Service Fees,5,0,0,0.00,0.00,0,0.00
3/16/22,Snacks,3,8,2.7,3.75,1.25,100,3.75
3/17/22,General Food,3,9,3,237.25,79.08,100,237.25
3/17/22,Meat/Fish,2,2,1,40.00,20.00,100,40.00
3/17/22,Pinless Recharge,2,2,1,8.00,4.00,0,0.00
3/17/22,Service Fees,6,0,0,3.28,0.54,0,0.00
3/18/22,Drinks,3,6,2,120.50,40.16,100,120.50
3/18/22,General Food,13,83,6.4,1114.97,85.76,100,1114.97
3/18/22,Meat/Fish,5,8,1.6,80.00,16.00,100,80.00
3/18/22,Service Fees,14,0,0,2.52,0.18,0,0.00
3/18/22,Snacks,4,12,3,8.75,2.18,100,8.75
3/19/22,General Food,11,83,7.5,573.11,52.10,100,573.11
3/19/22,Meat/Fish,4,6,1.5,60.00,15.00,100,60.00
3/19/22,Service Fees,11,0,0,3.63,0.33,0,0.00
3/19/22,Snacks,2,7,3.5,8.50,4.25,100,8.50
3/20/22,Cleaning&body,1,1,1,2.00,2.00,100,2.00
3/20/22,Drinks,1,10,10,84.00,84.00,100,84.00
3/20/22,General Food,6,36,6,266.75,44.45,100,266.75
3/20/22,Meat/Fish,1,1,1,20.00,20.00,100,20.00
3/20/22,Service Fees,6,0,0,4.12,0.68,0,0.00
3/20/22,Tobacco,1,1,1,2.00,2.00,100,2.00
3/21/22,Cleaning&body,1,1,1,5.50,5.50,100,5.50
3/21/22,Drinks,2,5,2.5,79.00,39.50,100,79.00
3/21/22,General Food,5,54,10.8,403.47,80.69,100,403.47
3/21/22,Meat/Fish,2,4,2,70.00,35.00,100,70.00
3/21/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
3/21/22,Service Fees,7,0,0,1.70,0.24,0,0.00
3/21/22,Snacks,1,3,3,3.00,3.00,100,3.00
3/22/22,Drinks,3,4,1.3,4.75,1.58,100,4.75
3/22/22,General Food,5,27,5.4,147.48,29.49,100,147.48
3/22/22,Meat/Fish,5,9,1.8,130.00,26.00,100,130.00
3/22/22,Service Fees,6,0,0,1.27,0.21,0,0.00
3/22/22,Snacks,1,3,3,2.25,2.25,100,2.25
3/23/22,Drinks,2,7,3.5,85.00,42.50,100,85.00
3/23/22,General Food,9,34,3.8,219.48,24.38,100,219.48
3/23/22,Meat/Fish,5,7,1.4,120.00,24.00,100,120.00
3/23/22,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
3/23/22,Service Fees,10,0,0,8.70,0.87,0,0.00
3/24/22,Cleaning&body,1,1,1,5.00,5.00,100,5.00
