Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
1/6/21,Meat/Fish,3,3,1,30,10,100,30
1/7/21,General Food,3,9,3,226,75.33,100,226
1/7/21,Meat/Fish,2,2,1,20,10,100,20
1/8/21,General Food,3,8,2.7,209,69.66,100,209
1/8/21,Meat/Fish,1,2,2,30,30,100,30
1/9/21,General Food,8,45,5.6,452.5,56.56,100,452.5
1/9/21,Meat/Fish,3,4,1.3,40,13.33,100,40
1/9/21,Snacks,1,4,4,6,6,100,6
1/10/21,Drinks,1,1,1,1.5,1.5,100,1.5
1/10/21,General Food,7,18,2.6,148,21.14,100,148
1/10/21,Meat/Fish,3,4,1.3,80,26.66,100,80
1/11/21,Drinks,1,3,3,3,3,100,3
1/11/21,General Food,3,10,3.3,49,16.33,100,49
1/11/21,Meat/Fish,2,2,1,20,10,100,20
1/12/21,General Food,2,5,2.5,25,12.5,100,25
1/13/21,Drinks,1,3,3,4.5,4.5,100,4.5
1/13/21,General Food,6,49,8.2,586,97.66,100,586
1/13/21,Meat/Fish,3,8,2.7,90,30,100,90
1/13/21,Snacks,1,1,1,0.5,0.5,100,0.5
1/14/21,General Food,6,16,2.7,125,20.83,100,125
1/14/21,Meat/Fish,4,7,1.8,100,25,100,100
1/15/21,General Food,2,12,6,70,35,100,70
1/16/21,General Food,3,7,2.3,33,11,100,33
1/16/21,Meat/Fish,2,2,1,30,15,100,30
1/17/21,Drinks,1,1,1,9,9,100,9
1/17/21,General Food,2,19,9.5,250,125,100,250
1/17/21,Snacks,2,16,8,8,4,100,8
1/18/21,General Food,2,13,6.5,91,45.5,100,91
1/18/21,Meat/Fish,1,3,3,50,50,100,50
1/20/21,General Food,2,15,7.5,109.5,54.75,100,109.5
1/20/21,Meat/Fish,1,1,1,10,10,100,10
1/21/21,General Food,7,25,3.6,154,22,100,154
1/21/21,Snacks,1,1,1,0.5,0.5,100,0.5
1/22/21,Drinks,1,1,1,1,1,100,1
1/22/21,General Food,6,40,6.7,293,48.83,100,293
1/22/21,Meat/Fish,2,3,1.5,40,20,100,40
1/22/21,Snacks,1,3,3,1.05,1.05,100,1.05
1/23/21,General Food,4,26,6.5,489,122.25,100,489
1/24/21,General Food,1,3,3,15,15,100,15
1/25/21,Drinks,1,2,2,64,64,100,64
1/25/21,General Food,2,16,8,251,125.5,100,251
1/25/21,Meat/Fish,1,1,1,10,10,100,10
1/25/21,Snacks,2,6,3,7.5,3.75,100,7.5
1/26/21,Drinks,1,1,1,32,32,100,32
1/26/21,General Food,3,7,2.3,88,29.33,100,88
1/26/21,Meat/Fish,1,1,1,20,20,100,20
1/27/21,General Food,1,2,2,12,12,100,12
1/27/21,Meat/Fish,1,1,1,10,10,100,10
1/29/21,Drinks,2,7,3.5,79,39.5,100,79
1/29/21,General Food,6,68,11.3,615,102.5,100,615
1/29/21,Meat/Fish,3,5,1.7,90,30,100,90
1/29/21,Snacks,1,1,1,0.34,0.34,100,0.34
1/30/21,General Food,3,52,17.3,539,179.66,100,539
1/30/21,Meat/Fish,1,2,2,30,30,100,30
1/31/21,General Food,2,6,3,356,178,100,356
2/1/21,Drinks,2,4,2,44,22,100,44
2/1/21,General Food,4,52,13,368,92,100,368
