Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
9/2/21,Condiments,1,1,1,3.00,3.00,100,3.00
9/2/21,Drinks,7,17,2.4,209.50,29.92,100,209.50
9/2/21,General Food,8,125,15.6,1166.11,145.76,100,1166.11
9/2/21,Meat/Fish,1,1,1,17.00,17.00,100,17.00
9/2/21,Service Fees,9,0,0,0.00,0.00,0,0.00
9/2/21,Snacks,5,17,3.4,24.50,4.90,100,24.50
9/3/21,Drinks,1,2,2,66.00,66.00,100,66.00
9/3/21,General Food,12,159,13.3,1530.29,127.52,100,1530.29
9/3/21,Meat/Fish,3,5,1.7,80.00,26.66,100,80.00
9/3/21,Service Fees,12,0,0,1.84,0.15,0,0.00
9/3/21,Snacks,1,1,1,2.50,2.50,100,2.50
9/4/21,Cleaning&body,1,1,1,8.00,8.00,100,8.00
9/4/21,General Food,2,10,5,120.00,60.00,100,120.00
9/4/21,Service Fees,3,0,0,3.28,1.09,0,0.00
9/4/21,Snacks,2,3,1.5,4.00,2.00,100,4.00
9/5/21,Drinks,2,2,1,2.00,1.00,100,2.00
9/5/21,General Food,9,116,12.9,1289.08,143.23,100,1289.08
9/5/21,Meat/Fish,1,3,3,30.00,30.00,100,30.00
9/5/21,Service Fees,10,0,0,1.12,0.11,0,0.00
9/5/21,Snacks,1,5,5,10.00,10.00,100,10.00
9/6/21,Drinks,5,7,1.4,74.00,14.80,100,74.00
9/6/21,General Food,13,114,8.8,1413.64,108.74,100,1413.64
9/6/21,Meat/Fish,2,4,2,50.00,25.00,100,50.00
9/6/21,Service Fees,13,0,0,3.08,0.23,0,0.00
9/6/21,Snacks,3,5,1.7,4.50,1.50,100,4.50
9/7/21,Cleaning&body,1,1,1,5.00,5.00,100,5.00
9/7/21,Condiments,3,6,2,15.00,5.00,100,15.00
9/7/21,General Food,9,77,8.6,805.07,89.45,100,805.07
9/7/21,Meat/Fish,3,9,3,160.00,53.33,100,160.00
9/7/21,Service Fees,10,0,0,3.40,0.34,0,0.00
9/7/21,Snacks,2,10,5,5.00,2.50,100,5.00
9/8/21,Drinks,7,18,2.6,86.00,12.28,100,86.00
9/8/21,General Food,9,84,9.3,946.35,105.15,100,946.35
9/8/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
9/8/21,Service Fees,9,0,0,6.89,0.76,0,0.00
9/8/21,Snacks,1,2,2,2.00,2.00,100,2.00
9/9/21,Drinks,8,15,1.9,115.00,14.37,100,115.00
9/9/21,General Food,12,181,15.1,2276.60,189.71,100,2276.60
