Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
5/26/21,General Food,3,10,3.3,58,19.33,100,58
5/26/21,Service Fees,3,0,0,1.44,0.48,0,0
5/27/21,Cleaning&body,3,3,1,36,12,100,36
5/27/21,Drinks,4,13,3.3,77,19.25,100,77
5/27/21,General Food,13,81,6.2,622.5,47.88,100,622.5
5/27/21,Meat/Fish,4,8,2,150,37.5,100,150
5/27/21,Service Fees,14,0,0,9.81,0.7,0,0
5/28/21,Cleaning&body,1,9,9,60,60,100,60
5/28/21,Drinks,2,5,2.5,4.5,2.25,100,4.5
5/28/21,General Food,12,76,6.3,893.64,74.47,100,893.64
5/28/21,Meat/Fish,3,6,2,90,30,100,90
5/28/21,Service Fees,12,0,0,8.8,0.73,0,0
5/28/21,Snacks,2,5,2.5,2.5,1.25,100,2.5
5/29/21,General Food,4,14,3.5,140.65,35.16,100,140.65
5/29/21,Meat/Fish,3,7,2.3,100,33.33,100,100
5/29/21,Service Fees,5,0,0,7.63,1.52,0,0
5/29/21,Snacks,1,2,2,1,1,100,1
5/30/21,Clothes,1,1,1,30,30,100,30
5/30/21,Drinks,3,3,1,43.5,14.5,100,43.5
5/30/21,General Food,3,11,3.7,89.5,29.83,100,89.5
5/30/21,Meat/Fish,1,1,1,10,10,100,10
5/30/21,Service Fees,7,0,0,4.12,0.58,0,0
5/31/21,Clothes,1,1,1,10,10,100,10
5/31/21,Drinks,1,2,2,2,2,100,2
5/31/21,General Food,5,50,10,411.69,82.33,100,411.69
5/31/21,Meat/Fish,1,1,1,20,20,100,20
5/31/21,Service Fees,5,0,0,3.83,0.76,0,0
5/31/21,Snacks,1,6,6,3,3,100,3
6/1/21,Drinks,2,5,2.5,13,6.5,100,13
6/1/21,General Food,3,31,10.3,186.4,62.13,100,186.4
6/1/21,Meat/Fish,1,1,1,20,20,100,20
6/1/21,Service Fees,3,0,0,1.8,0.6,0,0
6/1/21,Snacks,2,6,3,3,1.5,100,3
6/2/21,Cleaning&body,1,1,1,10,10,100,10
6/2/21,Drinks,3,7,2.3,10.5,3.5,100,10.5
6/2/21,General Food,15,153,10.2,1256.77,83.78,100,1256.77
6/2/21,Meat/Fish,3,3,1,50,16.66,100,50
6/2/21,Service Fees,16,0,0,4.34,0.27,0,0
6/2/21,Snacks,2,10,5,5.98,2.99,100,5.98
6/3/21,Drinks,1,1,1,1,1,100,1
6/3/21,General Food,4,42,10.5,356.55,89.13,100,356.55
6/3/21,Meat/Fish,2,5,2.5,50,25,100,50
6/3/21,Service Fees,4,0,0,4.41,1.1,0,0
6/4/21,General Food,3,59,19.7,274.25,91.41,100,274.25
6/4/21,Meat/Fish,1,1,1,20,20,100,20
6/4/21,Service Fees,3,0,0,0,0,0,0
6/5/21,Cleaning&body,1,1,1,5,5,100,5
6/5/21,General Food,4,8,2,43.09,10.77,100,43.09
6/5/21,Service Fees,6,0,0,0.83,0.13,0,0
6/5/21,Snacks,1,1,1,0.75,0.75,100,0.75
6/6/21,Drinks,2,4,2,4.25,2.12,100,4.25
6/6/21,General Food,6,20,3.3,134.47,22.41,100,134.47
6/6/21,Meat/Fish,2,13,6.5,130,65,100,130
6/6/21,Service Fees,7,0,0,2.54,0.36,0,0
6/7/21,Cleaning&body,4,13,3.3,128,32,100,128
6/7/21,Drinks,7,15,2.1,122.75,17.53,100,122.75
6/7/21,General Food,12,123,10.3,813.49,67.79,100,813.49
6/7/21,Meat/Fish,2,2,1,30,15,100,30
6/7/21,Misc.,1,1,1,15,15,100,15
6/7/21,Service Fees,15,0,0,5.83,0.38,0,0
6/7/21,Snacks,3,5,1.7,6.5,2.16,100,6.5
6/8/21,General Food,4,26,6.5,461.91,115.47,100,461.91
6/8/21,Service Fees,4,0,0,0,0,0,0
6/9/21,Drinks,4,18,4.5,97.5,24.37,100,97.5
6/9/21,General Food,10,78,7.8,869.55,86.95,100,869.55
6/9/21,Meat/Fish,2,2,1,30,15,100,30
6/9/21,Service Fees,12,0,0,0.64,0.05,0,0
6/9/21,Snacks,4,12,3,15.75,3.93,100,15.75
6/10/21,Drinks,3,14,4.7,57,19,100,57
6/10/21,General Food,6,83,13.8,706.56,117.76,100,706.56
6/10/21,Meat/Fish,4,7,1.8,100,25,100,100
6/10/21,Service Fees,7,0,0,1.48,0.21,0,0
6/10/21,Snacks,2,6,3,9,4.5,100,9
6/11/21,Drinks,5,14,2.8,28.5,5.7,100,28.5
6/11/21,General Food,9,24,2.7,236,26.22,100,236
6/11/21,Meat/Fish,3,7,2.3,70,23.33,100,70
6/11/21,Service Fees,13,0,0,5.38,0.41,0,0
6/11/21,Snacks,4,29,7.3,19.5,4.87,100,19.5
6/12/21,Drinks,2,5,2.5,9,4.5,100,9
6/12/21,General Food,8,76,9.5,903.8,112.97,100,903.8
6/12/21,Service Fees,9,0,0,0.68,0.07,0,0
6/12/21,Snacks,2,7,3.5,7.75,3.87,100,7.75
6/13/21,Drinks,1,2,2,2,2,100,2
6/13/21,General Food,5,47,9.4,462.36,92.47,100,462.36
6/13/21,Service Fees,6,0,0,0.15,0.02,0,0
6/13/21,Snacks,2,6,3,7,3.5,100,7
6/14/21,Drinks,2,4,2,36,18,100,36
6/14/21,General Food,10,132,13.2,1397.26,139.72,100,1397.26
6/14/21,Meat/Fish,3,4,1.3,50,16.66,100,50
6/14/21,Service Fees,10,0,0,0,0,0,0
6/14/21,Snacks,2,4,2,5,2.5,100,5
