Upc,Department,qty,amount($),Name
41331090513,General Food,1,10,Goya Cassava Yuca
41331090520,General Food,1,3.99,Goya Yuca Cassava
41331090544,General Food,1,3.99,Goya:Yam
41331091305,General Food,1,3.99,Goya Cut Okra
41331091732,General Food,1,3.99,Goya Chopped Spinach
41331092159,General Food,1,5,GOYA JUMBO CORN
41331092166,General Food,1,30,Goya Choclo Desgranado
41348009911,General Food,1,0.5,Z
41364080338,Snacks,1,1.25,Sour Punch:Strawbery Straws
41364087320,General Food,1,2.5,Sour Punch Bites
41396065198,Snacks,1,1.25,Sour dudes
41420051326,Household,1,3.99,Brachs
41490736130,General Food,1,20,King:Golden
41498122201,General Food,1,5,Brookdale Premium Corned Beef
41498126643,General Food,1,3.25,Carlini Pure Corn Oil
41498131562,General Food,1,1.25,Stone Mill Essent Salt Iodized
41548702698,General Food,1,3.5,Ice  cream
41548898469,Snacks,1,3.5,kitkat  ice cream
41570130605,General Food,1,9,Blus diamond
41724004509,General Food,1,50,White corn flour
41761103098,Snacks,1,1.25,Happy Valentine Day Chocolates
41789002113,General Food,1,0.5,Maruchan:Chicken
41800490004,Drinks,1,1,"Welch's Single Serve:Fruit Punch, Modified 9/10/08"
42200000053,Drinks,1,1,RIPS
42200000657,Drinks,1,1,Rip It Energy Fuel Citrus X
42200002637,Drinks,1,1,Rip It
42200006826,Drinks,1,1,RIP IT 3WAY BERRY 16OZ $0.99
42200006833,Drinks,1,1,Rip It F Bomb
42200007212,Drinks,1,1,"Rip It Energy Tribute, Active Mandarin Live Wild Lime"
42200008554,Drinks,1,1,Rip it Energy Fuel G-Force
42238302211,Snacks,1,1.75,Haribo:Gold-Bears - Original
42238723627,General Food,1,1,Gu mmicandy
44000007492,General Food,1,2,Oreo Chocolate Cookies
44000043148,Snacks,1,0.5,Chips Ahoy! Original
44000047009,General Food,1,1,Oreo Cookies
44000068851,Snacks,1,0.5,oreo
44600322605,Cleaning&body,1,3.15,Clorox 33%
44800001461,General Food,1,10,sugar  6 lbs
46500717734,Dairy,1,0,Glade clean linen
47400097728,General Food,1,5,Gillete Endurance Cool Wave
47400313927,Cleaning&body,1,7,Venus
47400315358,Tobacco,1,2,Simply Venus
47400671362,Cleaning&body,1,4,Gillette
47677388062,General Food,1,3.99,Snickers Ice Cream
48000002457,General Food,1,1,Chicken of the Sea:Chunk Light In Water
48000007070,General Food,1,1,Chicken of the Sea:In Water
48001011595,General Food,1,10.69,KNORR CALDO DE POLLO
48155908642,Cleaning&body,1,10,Personal Care Creamy Petroleum Jelly
48155921320,Calling Card,1,2,Petroleum Jelly Skin Protectant
48500001745,General Food,1,1,Tropicana Orange 100% Juice
49000000443,Drinks,1,1.25,Coca-Cola
49000001327,Drinks,1,0.75,Sprite
49000004632,Drinks,1,2,Coca Cola
49000006346,Drinks,1,0.75,Coca Cola
49000006582,Drinks,1,0.75,Diet Coke
49000007640,Snacks,1,1.25,Sprite
49000014235,Drinks,1,0.75,Fanta Orange
49000019162,Drinks,1,1.5,Fanta Orange
49000024685,Drinks,1,1.5,Coca Cola
49000024692,Drinks,1,1.25,Coca Cola Diet
49000031683,Drinks,1,1.25,Fanta
49000045260,Drinks,1,1.25,Powerade Ion 4:Grape
49000046656,Drinks,1,1,Fanta:Orange 12 Oz
49000047820,Drinks,1,2,Sprite
49000047844,Drinks,1,2.5,Fanta Orange
49000058451,Drinks,1,35,Soda mexicana mix 24pz
49000061048,General Food,1,1,"Coca cola zero sugar 7,5 fl.ozO"
49000069846,Drinks,1,1.5,Hebert Lemonade Original
49000070347,Drinks,1,1.5,Hubert Raspberry Lemonade
49000070354,Drinks,1,1.5,Heberrt Strawberry Lemonade
49000070484,Drinks,1,1,Peace tea razzleberry
49000070507,Drinks,1,1,Peace Tea Sno Berry
49000078244,Drinks,1,1.5,Huubert''s lemon blueberry
49000079357,Drinks,1,1.5,powerade mountain berry
49000079388,Drinks,1,1.5,powerade fruit punch
49022924925,General Food,1,2,Plztea
49200045503,General Food,1,2.99,Domino: Sugar Pure Cane
49200048702,General Food,1,20,Domino:Pure Cane Granulated
50000216673,General Food,1,8,Gerber Good Start:Gentle Powder
50700020204,General Food,1,1,Red And White Evaporated Milk Whole
51000012142,General Food,1,3.99,"Prego Chunky Garden:Tomato, Onion & Garlic"
51000025494,General Food,1,5.9,Prego:100% Natural Traditional
51179192409,General Food,1,12,PEANUTS
52000042122,Drinks,1,1.25,GATORADE ZERO LIME
52000047745,Drinks,1,1.5,Gatorade
52000102475,Cleaning&body,1,1.25,Gatorade Glacier Cherry
52000204094,General Food,1,1.5,Gatorade:G Series Perform Lemon-Lime
52000324815,Drinks,1,1.25,Gatorade G Series Cool Blue
52000324860,Drinks,1,1.5,Gatorade Frost Glacier Freeze
52000328660,Drinks,1,1.25,Gatorade G Series Perform Fruit Punch
52000328677,Drinks,1,1.5,Gatorade G Series 02 Perform Orange
52000328684,Drinks,1,1.5,Gatorade Lemon-Lime
52100029269,General Food,1,3,Dark chili
54000200427,Cleaning&body,1,1.25,Scott 1000 Sheets
54000472190,Household,1,1,Scott
54924005238,Snacks,1,1.5,Almonette cokkies
57736002549,General Food,1,30,Flour
58504321046,General Food,1,15,COUS COUS
62273452252,General Food,1,10,Horse mackerel
62338029658,Cleaning&body,1,5,Air wick
62338797175,Cleaning&body,1,5,Airwick Life scents
62338911014,Household,1,0,Airwick
63054404408,Snacks,1,4,Pizzelle
67238891190,Cleaning&body,1,5,Dove Original Beauty Bar
70074407111,General Food,1,1,Ensure: Original Nutrition Shake
70074671666,General Food,1,8,Ensuremax protein
70462000061,Snacks,1,1,Sour Patch Kids Berries
70462005837,General Food,1,5,Sour Patch 1lb 12.8 oz
