Upc,Department,qty,amount($),Name
7.62E+11,Condiments,1,2,Your style767
7.62E+11,General Food,1,5,Starbucks:French Roast
7.62E+11,General Food,1,5,starbuck coffee
7.64E+11,Cleaning&body,1,7,mousse
7.81E+11,General Food,1,10,Dried fish
7.99E+11,General Food,1,6,Smoked bounga fish
7.99E+11,General Food,1,4,Frozen bitter
7.99E+11,General Food,1,6,Boney fish
7.99E+11,General Food,1,5,African red beans
7.99E+11,General Food,1,5.09,palm oil
7.99E+11,General Food,1,7.66,Refined red palm oil
7.99E+11,Household,1,23.99,Refined palm oil
7.99E+11,General Food,1,8,raw peanuts jkub
7.99E+11,General Food,1,3.99,Whole shrimp
7.99E+11,General Food,1,4.99,Ground boney fish
7.99E+11,General Food,1,3,FRESH OKAZI LEAVES
7.99E+11,General Food,1,8,Whole shrimp
7.99E+11,General Food,1,15,red palm
7.99E+11,General Food,1,9.99,White corn flour
7.99E+11,General Food,1,5,honey beans
7.99E+11,General Food,1,25.99,Cassava flour
7.99E+11,General Food,1,7,African spinach
7.99E+11,General Food,1,5.5,shea butter
7.99E+11,General Food,1,16,Smoke kuta fish
7.99E+11,General Food,1,5,Safou
7.99E+11,General Food,1,40,Big cassava flour
7.99E+11,General Food,1,3.5,African gloves
8.00E+11,Snacks,1,5,Ginger Candy
8.03E+11,Condiments,1,10,Olivs  Miracle
8.10E+11,General Food,1,10,de rica
8.10E+11,General Food,1,1,de rica
8.10E+11,General Food,1,2,De rica
8.10E+11,General Food,3,10,De rica
8.10E+11,General Food,1,25,Tilpia
8.10E+11,General Food,1,35,Tipapia
8.10E+11,General Food,1,35,Tilpa
8.12E+11,Drinks,1,1.2,Core power
8.15E+11,Drinks,1,2,NOS High Perfomance Energy Drink
8.16E+11,General Food,1,3,El Yucateco Chile Habanero Hot Sauce Green
8.17E+11,Cleaning&body,1,5,VO5
8.17E+11,Cleaning&body,1,2,Zest
8.18E+11,General Food,1,6,Cantu Shea Butter:For Natural Hair Moisturizing
8.18E+11,General Food,1,5,Shea butter
8.19E+11,Snacks,1,1,Chips
8.35E+11,Cleaning&body,1,10,Cocoabutter
8.37E+11,General Food,1,7.99,Kabeya Poundo
8.37E+11,General Food,1,6,Matembele
8.37E+11,Frozen,1,7,Ngai- ngai
8.37E+11,General Food,1,7,Kabeya palm oil
8.38E+11,General Food,1,3,Black Mushrooms
8.38E+11,General Food,1,3,SORREL
8.38E+11,General Food,1,3,Akpi jansanf
8.38E+11,General Food,1,3,KINKILEBA
8.38E+11,General Food,1,3,Tiger nuts
8.38E+11,General Food,1,3,Monikrou
8.38E+11,General Food,1,5,CASSAVA FLOUR
8.38E+11,General Food,1,3,Dried Okra
8.38E+11,General Food,1,5,WHOLE EGUSI
8.38E+11,General Food,1,3.99,Jkub sour sour
8.38E+11,General Food,1,5.99,Cassava Flour
8.38E+11,Household,1,4,Yellow Beans 32oz
8.38E+11,Meat/Fish,1,15,pondu
8.38E+11,General Food,1,3.99,Kalaba
8.38E+11,General Food,1,4,BITTER LEAVES
8.38E+11,Frozen,1,4,Safou
8.38E+11,General Food,1,3,Whole crawfish
8.38E+11,General Food,1,10,MIONDO
8.38E+11,General Food,1,5.15,Jkub dry okazi leaves
8.38E+11,Frozen,1,8,BOBOLO
8.38E+11,General Food,1,3.99,Ground country onions
8.38E+11,General Food,1,4,Ground melon seed- egusi
8.38E+11,Pasta/Rice,1,10,White Gari
8.38E+11,General Food,1,8.99,Kub ground peanut
8.38E+11,General Food,1,3.99,GROUND PEANUTS 8OZ
8.38E+11,General Food,1,5.09,Palm Oil
8.38E+11,Cleaning&body,1,8,Palm Oil
8.38E+11,General Food,1,13.99,Palm oil
8.38E+11,General Food,1,24.99,Palm oil
8.38E+11,General Food,1,4.5,Coconut peanuts
8.38E+11,General Food,1,3,DJansang Akpi
8.38E+11,Frozen,1,5,KUb frozen chikwangue
8.38E+11,General Food,1,10.99,Peanut Butter
8.38E+11,General Food,1,5,Ground peanutx
8.38E+11,Household,1,5.99,Peanut Butter
8.38E+11,General Food,1,5.99,Maqureau
8.38E+11,General Food,1,15.99,smoked cod fish
8.38E+11,General Food,1,5.99,GROUND PEANUTS 16OZ
8.38E+11,General Food,1,15,Smoked fish
8.38E+11,General Food,1,3.5,potato leaves
8.38E+11,General Food,1,5,African black eyed pea
8.38E+11,General Food,1,3,Jkub dry bitter leaves
8.38E+11,General Food,1,12,frozen cassaves
8.38E+11,General Food,1,10.99,Cassava flour
8.38E+11,General Food,1,2.5,Shea butter
8.41E+11,Tobacco,1,10,GuAttro
8.43E+11,General Food,1,3,Fresh gingrd
8.50E+11,General Food,1,10,Gingera tsa
8.50E+11,General Food,1,3,Cajun seasonning
8.50E+11,General Food,1,9.69,Garlic
8.50E+11,General Food,1,10,gingrt
8.50E+11,General Food,1,4.99,Bayleves
8.50E+11,Cleaning&body,1,2.5,Vaseline all purose
8.54E+11,General Food,1,17,Plaintain Fufu 4 lbs
8.54E+11,General Food,1,18,Mama's Choice Plantain Fufu Mix
8.54E+11,General Food,1,5,Mama's Choice Fufu Mix
8.54E+11,General Food,1,5,FuFu Mix
8.54E+11,General Food,1,14,Pound yam
8.54E+11,General Food,1,18,Iyan pouned yam
8.56E+11,General Food,1,5,Nirvana Honey Ginger Tea
8.56E+11,General Food,1,5,GINGER TEA
8.57E+11,Cleaning&body,1,4,Eyelash
8.60E+11,General Food,1,2,Crown kulf
8.60E+11,General Food,1,2,Crown Kulfi
8.60E+11,General Food,1,2,'CrownkulFi
8.60E+11,General Food,1,2,crow kulf
8.60E+11,General Food,1,2,crownKulfi
8.60E+11,General Food,1,2,Crown
8.60E+11,General Food,1,2,Ice cream
8.60E+11,General Food,1,2.5,Crown ice cream
8.60E+11,General Food,1,3.5,lce cream
8.60E+11,General Food,1,2.5,Ice cream
8.60E+11,General Food,1,1.5,Ice cream
8.61E+11,General Food,1,6,Poncu
8.66E+11,General Food,1,5,sorrel hibiscus bissap
8.66E+11,General Food,1,5,Kittely gnangnan
8.66E+11,General Food,1,8,Original palm oil
8.66E+11,General Food,1,5.5,Cassava flour
8.66E+11,General Food,1,5.5,White corn flour
8.66E+11,General Food,1,24.99,Original palm oil
8.66E+11,General Food,1,10,Frozen snailx
8.66E+11,General Food,1,5.09,Original palm oil
8.66E+11,General Food,1,8,Palm nut
8.66E+11,General Food,1,5,Kittely gnangnan
8.76E+11,Snacks,1,0.5,Global Brands Minees:Vanilla Crème
8.76E+11,Snacks,1,0.5,Global Brands Minees:Strawberry Crème
8.76E+11,General Food,1,0.5,Global Brands Minees:Banana Crème
8.76E+11,Snacks,1,5,Minees Rich & Creamy Sandwich Cookies
8.76E+11,Snacks,1,0.5,Minees
8.76E+11,Snacks,1,0.5,Sugar Sprinkled Coco
8.76E+11,Snacks,1,0.5,coojiea
8.81E+11,General Food,1,5,Dunkin Donuts:Original Blend
8.81E+11,General Food,1,3,Dunkin Donuts:French Vanilla
8.81E+11,General Food,1,5,Dunkin' Donuts:Dunkin' Decaf
8.81E+11,General Food,1,5,Dunkin donuts coffee
8.84E+11,Drinks,1,1.5,Farmer's Aloe Vera Drink
8.84E+11,Drinks,1,1.5,Ofk Aloe vera Pomegranade
8.84E+11,Drinks,1,1.5,Farmers Coconut
8.86E+11,Clothes,1,20,Rain jacket
8.89E+11,General Food,1,25,Jasminerice
8.89E+11,Drinks,1,0.5,Wellsley Purified Water
8.95E+11,General Food,1,6.99,African King Cream of Palm Fruit
1.78E+12,General Food,1,25,Cemolina
2.25E+12,General Food,1,1,Bravo
2.43E+12,Cleaning&body,1,8,Safiderm
2.43E+12,Cleaning&body,1,10,Eclat
2.85E+12,General Food,1,1,Bqeuf beef flavour
3.05E+12,Cleaning&body,1,40,lotiin
3.28E+12,General Food,1,1.5,Princesse
3.28E+12,General Food,1,1.5,Princesse sardines
3.63E+12,Cleaning&body,1,0.99,noor
3.70E+12,General Food,1,8,Trofai Palmnut Pulp
3.70E+12,General Food,1,7.99,trofan
3.70E+12,Cleaning&body,1,10,Rapid Clair Serum
3.70E+12,Cleaning&body,1,20,RAPID CLAIR LITIIN
3.70E+12,General Food,1,13,White Express Lotion
3.77E+12,General Food,1,8,Pondu
4.10E+12,General Food,1,2,Crispy rice cereal
4.10E+12,General Food,1,3.99,Domino sugar
4.10E+12,Snacks,1,2,Oatmeal cookues
4.10E+12,General Food,1,2,Cookies
4.10E+12,Snacks,1,2,Vanilla wafers
4.10E+12,Drinks,1,1.5,Seltzer
4.10E+12,General Food,1,3.5,Oil
4.10E+12,General Food,1,4.99,Seasoned salt
4.10E+12,General Food,1,1.5,Salt
4.10E+12,General Food,1,1.5,Chili powder
4.10E+12,General Food,1,5,corned beef
4.10E+12,General Food,1,1.5,Lemon pepper
4.10E+12,General Food,1,1.5,Garlic salt
4.10E+12,General Food,1,3,Pinto beans
4.10E+12,General Food,1,3.5,Beans
4.10E+12,General Food,1,2,Idk
4.10E+12,General Food,1,4.69,Other Vegetables (450
4.10E+12,General Food,1,3.99,Pure canola oil
4.10E+12,General Food,1,3,Hazelnut
4.10E+12,General Food,1,5,Tea
4.10E+12,General Food,1,3.5,Pure vegetable oil
5.00E+12,General Food,1,6,Quaker white oaks
5.03E+12,Cleaning&body,1,9,Antiseptic
5.73E+12,Cleaning&body,1,5.5,Cosmethings
5.94E+12,Clothes,1,15,hzpszh
6.00E+12,Cleaning&body,1,2,Soal
6.00E+12,Cleaning&body,1,5,Superblack
6.01E+12,General Food,1,1.5,Onga
6.01E+12,General Food,1,7,Onga
6.01E+12,General Food,1,1.5,Onga
6.01E+12,General Food,1,0.5,Onga
6.01E+12,General Food,1,0.5,Onga
6.01E+12,General Food,1,1,Ongo poulet
6.01E+12,General Food,1,9.99,OnbA
6.01E+12,General Food,1,1,Blue band
6.01E+12,General Food,1,1,Onga
6.01E+12,General Food,1,1,boullin chicken
6.01E+12,Cleaning&body,1,5,Glycerine
6.01E+12,General Food,1,8,Glycerine
6.03E+12,General Food,1,10,White secret
6.03E+12,Household,1,20,White secret
6.03E+12,Cleaning&body,1,20,White secret
6.03E+12,General Food,1,8,Nestle Cerelac
6.03E+12,General Food,1,8,maggi shrimp
6.03E+12,General Food,1,8.99,Nestle cwrelac
6.03E+12,Household,1,3,Robb Pain & Nasal Ointment
6.03E+12,General Food,1,7,Palm  cream
6.03E+12,General Food,1,8,Nkulenu;s Palm Soup Base
6.03E+12,General Food,1,6.99,Plantain fufu
6.03E+12,General Food,1,7.99,Praise Palm Cream Sauce Graine
6.03E+12,General Food,1,6,neat Plantain FuFu
6.03E+12,General Food,1,7,Palm cream
6.03E+12,General Food,1,10.99,Gari
6.03E+12,General Food,1,8,Blue band
6.03E+12,General Food,1,8.99,Maqureau
6.03E+12,Household,1,15.99,Blue Band
6.04E+12,General Food,1,7,Palm nut
6.04E+12,General Food,1,7,Palm cream
6.04E+12,General Food,1,9.99,M
6.04E+12,Condiments,1,5,Banku fufu
6.04E+12,General Food,1,5,Banku mix flour
6.04E+12,General Food,1,1,Adja
6.10E+12,General Food,1,8,Top magique
6.10E+12,General Food,1,5,Boeuf
6.11E+12,General Food,1,1.5,Titus Sardines in oil
6.11E+12,General Food,1,1.5,TITUS SARDN TOM SCE
6.11E+12,General Food,1,1.5,Titus with tomato sauce with chill
6.11E+12,General Food,1,1.5,Titus
6.11E+12,General Food,1,2,Pri ncesse
6.15E+12,General Food,1,7,Maggi
6.15E+12,General Food,1,16,Neslte Cerelac Infant Cereal with Milk
6.15E+12,General Food,1,7.99,Maggi
6.15E+12,General Food,1,8,Maggi
6.15E+12,Frozen,1,5.99,Milo
6.15E+12,General Food,1,7.99,Maggi
6.15E+12,General Food,1,16,cerelac
6.15E+12,General Food,1,7,Maggi Seasoning
6.15E+12,General Food,1,7,Knorr cubes
6.15E+12,General Food,1,35,Banga Red Palm Oil
6.15E+12,General Food,1,17.99,Banga Red Palm Oil
6.15E+12,General Food,1,7,Seasoning cubes
6.15E+12,General Food,1,6.99,Chicken
6.15E+12,General Food,1,8,Blue Bans
6.16E+12,Cleaning&body,1,5,Dudu osum black soap
6.16E+12,Cleaning&body,1,5,Aboniki
6.16E+12,General Food,1,9.98,Karri
6.16E+12,General Food,1,4.85,ROYCO
6.16E+12,General Food,1,3.85,Royco chicken seasoning
6.16E+12,General Food,1,1,Royco beev
6.16E+12,General Food,1,2.15,Beef Masala
6.16E+12,General Food,1,4.15,CHICKEN MASALA
6.16E+12,General Food,1,2.15,Fish Masala
6.16E+12,Cleaning&body,1,8.99,Dettol
6.16E+12,Cleaning&body,1,11.99,Sleeping babg skin care
6.16E+12,Cleaning&body,1,15.69,Xleepi g
6.16E+12,General Food,1,10.99,Sleeping baby
6.16E+12,Cleaning&body,1,11.99,Sleeping
6.16E+12,General Food,1,1.5,Royco
6.16E+12,General Food,1,1.5,Mchuzi
6.16E+12,General Food,1,8,Blue band original
6.17E+12,General Food,1,10,Banna
6.18E+12,General Food,1,7.99,Maggi Crevette/Shrimp
6.18E+12,General Food,1,7.99,Maggi
6.18E+12,General Food,1,7,NEAT PALM CREAM 800G
6.18E+12,Cleaning&body,1,10,Bio claire Creme
6.18E+12,Cleaning&body,1,10,Bio Claire Lightening Body Lotion
6.18E+12,Cleaning&body,1,10.99,Pommade traitante
6.18E+12,Cleaning&body,1,10,Bio claire
6.18E+12,Cleaning&body,1,7,Bio claire Savon
6.18E+12,Cleaning&body,1,10,CLINIC CLEAR BODY LOTION
6.18E+12,Cleaning&body,1,10,PEAU CLAIRE
6.18E+12,Cleaning&body,1,10,Carolight
6.18E+12,Cleaning&body,1,10,Abidjanaise
6.18E+12,Household,1,10,Creme
6.18E+12,Cleaning&body,1,15,new light lotion
6.18E+12,Cleaning&body,1,25,Skin Light
6.18E+12,General Food,1,6,Super placali
6.18E+12,Cleaning&body,1,13,Caro White Lightening Beauty Lotion
6.18E+12,Household,1,15,Caro White Lightening Beauty Cream
6.18E+12,Cleaning&body,1,8,Caro White Lightening Cream
6.18E+12,Cleaning&body,1,5,CARO WHITE
6.18E+12,Cleaning&body,1,15,Clairmen Cream 500ml
6.18E+12,Cleaning&body,1,5,Cara light
6.18E+12,Household,1,5,Nature secrete
6.18E+12,Cleaning&body,1,5,CAROTONE OIL
6.18E+12,Cleaning&body,1,15,CaroTone Brightening Cream
6.18E+12,General Food,1,9,CaroTone Brightening Cream
6.18E+12,Cleaning&body,1,5,CAROTONE BLACK SPORT
6.18E+12,General Food,1,12,Caratone Collagen formula
6.19E+12,Cleaning&body,1,12,H20 Naturel Papaya Lightening Body Lotion
6.19E+12,Condiments,1,10,H20 PAPAYA OIL
6.19E+12,Cleaning&body,1,10,EDGUARD CREAM JAR
6.19E+12,General Food,1,15,L'abidjanaise Complexion Lotion
6.19E+12,Cleaning&body,1,10,Labidjanaise Complexion Oil
6.19E+12,Cleaning&body,1,10,Cocoa butter
6.19E+12,Cleaning&body,1,12,evensheen lotion
6.19E+12,Cleaning&body,1,25,Coca butfer
6.19E+12,Cleaning&body,1,10,Eclat White Lotion
6.19E+12,General Food,1,4.99,COUSCOUS FINE
6.25E+12,General Food,1,0.99,Chevre
6.61E+12,General Food,1,6.5,Sour sour
6.82E+12,General Food,1,2.75,Maquereau
6.93E+12,Clothes,1,2,Wig cap
6.94E+12,Cleaning&body,1,3,Confo
6.94E+12,Cleaning&body,1,5,Triple
6.97E+12,General Food,1,1,Elengi
6.97E+12,General Food,1,1,Elengi
6.97E+12,General Food,1,0.99,Elengi
6.97E+12,General Food,1,1,Elengi
6.97E+12,General Food,1,0.99,Elengi
6.97E+12,General Food,1,1,Elengi
6.97E+12,General Food,1,1,Elengi
6.97E+12,General Food,1,0.99,Elengi
6.97E+12,Frozen,1,5.5,Zina
7.62E+12,General Food,1,8,Cerelac
7.62E+12,General Food,1,16,Nestle Cerelac Honey & Wheat
7.62E+12,General Food,1,8,Nestle Cerelac Honey & Wheat with Milk
7.62E+12,General Food,1,15,JACOBS CRACKER
8.00E+12,Snacks,1,2,Misura
8.00E+12,Snacks,1,2,Colussi
8.01E+12,General Food,1,1.5,Salsa Double Concentre de Tomatoes
8.01E+12,General Food,1,4,SALSA TOMATOW
8.41E+12,General Food,1,16,Nestle Cerelac Wheat with Milk
8.41E+12,General Food,1,16,Nestle Cerelac Mix Fruits
8.41E+12,General Food,1,7,Jumbo
8.41E+12,Drinks,1,7,Jumbo
8.41E+12,General Food,1,17.99,Jumbo Crayfish Powder Flavor
8.41E+12,General Food,1,7,Jumbo
8.41E+12,General Food,1,8.99,Jumbo cubes
8.41E+12,General Food,1,7,jumbo chicken stock
8.41E+12,General Food,1,8,Jumbo Crevette Shrimp
8.41E+12,General Food,1,8,Jumbo
8.41E+12,General Food,1,7,Jumbo
8.41E+12,General Food,1,7,Jumbo
8.41E+12,General Food,1,15,Jumbo
8.41E+12,General Food,1,6,Aloe vera lemongass ginger Tea
8.71E+12,Cleaning&body,1,7,Dove
8.72E+12,General Food,1,45,Nido Milk
8.72E+12,General Food,1,1,Peak milk
8.72E+12,Cleaning&body,1,5,Dove
8.79E+12,Cleaning&body,1,12,miki
8.80E+12,Cleaning&body,1,2,Stainless Blade
8.86E+12,General Food,1,28,Zl a
8.89E+12,General Food,1,2.5,De Rica
8.89E+12,General Food,1,1,Reca
8.89E+12,General Food,1,5.99,De Rica
8.89E+12,General Food,1,1,De Rica
8.90E+12,Misc.,1,5,dettol
8.90E+12,Cleaning&body,1,5,Detal
8.90E+12,General Food,1,1.5,Tomato seasoning
8.90E+12,General Food,1,2,Arsor
8.90E+12,General Food,1,5,Tanzol
8.90E+12,Cleaning&body,1,5,Diproson
8.90E+12,General Food,1,10,Diproson
8.90E+12,Cleaning&body,1,5,EPIDERM
8.90E+12,Cleaning&body,1,5,Betasol
8.90E+12,Cleaning&body,1,5,Epiderm cream
8.90E+12,Household,1,0,Epiderm Lotion
8.90E+12,Cleaning&body,1,5,Epider cream
8.90E+12,Cleaning&body,1,5,betasol
8.90E+12,Cleaning&body,1,5,Diproson
8.90E+12,Cleaning&body,1,5,Ketazol
8.90E+12,Cleaning&body,1,5,Ketazol
8.90E+12,Cleaning&body,1,10,Diproson
8.90E+12,Cleaning&body,1,10,Petal
8.90E+12,Vitamins/Medicine,1,5,Relef
8.90E+12,General Food,1,9.9,Bon appetit
8.91E+12,Cleaning&body,1,10,funbact-A
8.91E+12,Cleaning&body,1,10,Rhumine
8.93E+12,General Food,1,1,Pho ga
8.94E+12,General Food,1,10,Matable
8.94E+12,General Food,1,4.99,Frozen chopped bitter leaave
8.94E+12,General Food,1,5.09,WA chopped pumkin
8.99E+12,Household,1,5,Dettol Bar Soap - Original
8.99E+12,Household,1,5,Dettol Anti Bacterial Skincare
8.99E+12,Household,1,5,Dettol Cool
9.42E+12,General Food,1,20,Aptamil
9.50E+12,General Food,1,8,Liberian Fresh Palm Cream Concentrate
9.50E+12,Cleaning&body,1,8,CARO-LIGHT CREAM JAR
9.50E+12,Cleaning&body,1,10,Clairmen
9.50E+12,Cleaning&body,1,13,CarolightCreamn Jar
9.50E+12,Cleaning&body,1,15,Clairmen
9.50E+12,Cleaning&body,1,10,Cocopulp
9.50E+12,Condiments,1,20,Coco pulp
9.50E+12,Condiments,1,10,Coco pulp
9.50E+12,Cleaning&body,1,10,Caro light
9.50E+12,Cleaning&body,1,15,Paw paw
9.56E+12,Household,1,40,Menlpwer
9.56E+12,General Food,1,40,Biopro coffe
9.62E+12,General Food,1,7,Safou
