Date,Department,# of Baskets,# of Items,Avg Items,Sales $,Avg Sale,Scan Rate,Scan Sales
12/20/20,Snacks,2,3,1.5,$4.50 ,$2.25 ,100,$4.50 
12/21/20,Cleaning&body,1,2,2,$10.00 ,$10.00 ,100,$10.00 
12/21/20,General Food,1,1,1,$10.00 ,$10.00 ,100,$10.00 
12/22/20,General Food,3,15,5,$131.50 ,$43.83 ,100,$131.50 
12/24/20,General Food,3,25,8.3,$291.50 ,$97.16 ,100,$291.50 
12/24/20,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
12/24/20,Snacks,2,3,1.5,$1.50 ,$0.75 ,100,$1.50 
12/25/20,General Food,1,21,21,$109.00 ,$109.00 ,100,$109.00 
12/25/20,Meat/Fish,1,3,3,$30.00 ,$30.00 ,100,$30.00 
12/26/20,Cleaning&body,1,3,3,$20.00 ,$20.00 ,100,$20.00 
12/26/20,General Food,1,11,11,$90.00 ,$90.00 ,100,$90.00 
12/28/20,Drinks,1,1,1,$1.00 ,$1.00 ,100,$1.00 
12/28/20,General Food,4,19,4.8,$122.00 ,$30.50 ,100,$122.00 
12/28/20,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
12/29/20,General Food,3,24,8,$202.00 ,$67.33 ,100,$202.00 
12/29/20,Snacks,1,2,2,$0.75 ,$0.75 ,100,$0.75 
12/30/20,General Food,1,2,2,$4.50 ,$4.50 ,100,$4.50 
12/31/20,General Food,2,6,3,$32.74 ,$16.37 ,100,$32.74 
1/1/21,General Food,1,1,1,$7.00 ,$7.00 ,100,$7.00 
1/2/21,Drinks,1,7,7,$224.00 ,$224.00 ,100,$224.00 
1/2/21,General Food,8,61,7.6,$846.75 ,$105.84 ,100,$846.75 
1/2/21,Meat/Fish,3,7,2.3,$80.00 ,$26.66 ,100,$80.00 
1/3/21,Drinks,1,12,12,$29.00 ,$29.00 ,100,$29.00 
1/3/21,General Food,5,9,1.8,$86.00 ,$17.20 ,100,$86.00 
1/3/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
1/4/21,Drinks,2,5,2.5,$36.50 ,$18.25 ,100,$36.50 
1/4/21,General Food,4,27,6.8,$273.00 ,$68.25 ,100,$273.00 
1/4/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
1/4/21,Snacks,1,3,3,$1.50 ,$1.50 ,100,$1.50 
1/5/21,General Food,2,20,10,$142.00 ,$71.00 ,100,$142.00 
1/5/21,Meat/Fish,1,2,2,$26.00 ,$26.00 ,100,$26.00 
1/6/21,Drinks,1,1,1,$32.00 ,$32.00 ,100,$32.00 
1/6/21,General Food,10,39,3.9,$523.75 ,$52.37 ,100,$523.75 
1/6/21,Meat/Fish,3,3,1,$30.00 ,$10.00 ,100,$30.00 
1/7/21,General Food,3,9,3,$226.00 ,$75.33 ,100,$226.00 
1/7/21,Meat/Fish,2,2,1,$20.00 ,$10.00 ,100,$20.00 
1/8/21,General Food,3,8,2.7,$209.00 ,$69.66 ,100,$209.00 
1/8/21,Meat/Fish,1,2,2,$30.00 ,$30.00 ,100,$30.00 
1/9/21,General Food,8,45,5.6,$452.50 ,$56.56 ,100,$452.50 
1/9/21,Meat/Fish,3,4,1.3,$40.00 ,$13.33 ,100,$40.00 
