Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
6/2/23,General Food,8,53,6.6,667.34,83.41,100,667.34
6/2/23,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
6/3/23,Cleaning&body,1,1,1,8.00,8.00,100,8.00
6/3/23,Drinks,6,10,1.7,285.95,47.65,100,285.95
6/3/23,General Food,17,55,3.2,815.84,47.99,100,815.84
6/3/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/4/23,General Food,5,28,5.6,787.83,157.56,100,787.83
6/5/23,Condiments,1,2,2,3.00,3.00,100,3.00
6/5/23,Drinks,4,8,2,241.97,60.49,100,241.97
6/5/23,General Food,10,49,4.9,1094.38,109.43,100,1094.38
6/5/23,Meat/Fish,4,6,1.5,120.00,30.00,100,120.00
6/6/23,Condiments,1,2,2,3.00,3.00,100,3.00
6/6/23,Drinks,1,1,1,2.00,2.00,100,2.00
6/6/23,General Food,10,72,7.2,492.90,49.29,100,492.90
6/6/23,Meat/Fish,1,10,10,160.00,160.00,100,160.00
6/6/23,Snacks,3,12,4,6.51,2.17,100,6.51
6/7/23,Drinks,3,4,1.3,81.99,27.33,100,81.99
6/7/23,General Food,15,71,4.7,820.57,54.70,100,820.57
6/7/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/7/23,Snacks,4,11,2.8,7.50,1.87,100,7.50
6/8/23,General Food,10,45,4.5,473.73,47.37,100,473.73
6/8/23,Household,1,10,10,8.00,8.00,100,8.00
6/8/23,Meat/Fish,2,4,2,50.00,25.00,100,50.00
6/9/23,Cleaning&body,1,1,1,10.00,10.00,100,10.00
6/9/23,Clothes,2,3,1.5,108.02,54.01,100,108.02
6/9/23,Drinks,1,1,1,40.00,40.00,100,40.00
6/9/23,General Food,15,111,7.4,1247.16,83.14,100,1247.16
6/9/23,Meat/Fish,3,10,3.3,130.00,43.33,100,130.00
6/9/23,Pinless Recharge,1,1,1,4.42,4.42,0,0.00
6/9/23,Snacks,1,3,3,15.00,15.00,100,15.00
6/10/23,Drinks,1,1,1,9.00,9.00,100,9.00
6/10/23,General Food,13,50,3.8,368.03,28.31,100,368.03
6/10/23,Meat/Fish,4,6,1.5,100.00,25.00,100,100.00
6/10/23,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
6/10/23,Snacks,1,2,2,1.00,1.00,100,1.00
6/11/23,Drinks,1,2,2,79.99,79.99,100,79.99
6/11/23,General Food,8,33,4.1,417.76,52.22,100,417.76
6/11/23,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
6/11/23,Snacks,2,7,3.5,10.99,5.49,100,10.99
6/12/23,Drinks,3,9,3,17.00,5.66,100,17.00
6/12/23,General Food,9,42,4.7,302.04,33.56,100,302.04
6/12/23,Snacks,1,1,1,1.00,1.00,100,1.00
6/13/23,Drinks,7,19,2.7,74.00,10.57,100,74.00
6/13/23,General Food,12,48,4,407.83,33.98,100,407.83
6/13/23,Household,1,10,10,63.70,63.70,100,63.70
6/13/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/13/23,Snacks,1,2,2,1.00,1.00,100,1.00
6/14/23,General Food,7,14,2,110.97,15.85,86,82.97
6/14/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/15/23,General Food,11,48,4.4,380.20,34.56,100,380.20
6/15/23,Meat/Fish,3,5,1.7,100.00,33.33,100,100.00
6/15/23,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
6/16/23,Cleaning&body,1,2,2,16.00,16.00,100,16.00
6/16/23,General Food,3,10,3.3,57.98,19.32,100,57.98
6/16/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/16/23,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
6/16/23,Snacks,1,10,10,5.00,5.00,100,5.00
6/17/23,General Food,11,40,3.6,541.64,49.24,100,541.64
6/17/23,Meat/Fish,2,2,1,40.00,20.00,100,40.00
6/17/23,Snacks,1,2,2,1.00,1.00,100,1.00
6/19/23,General Food,5,21,4.2,174.86,34.97,100,174.86
6/20/23,General Food,7,27,3.9,457.89,65.41,100,457.89
6/20/23,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
6/21/23,Clothes,1,1,1,125.00,125.00,0,0.00
6/21/23,Drinks,2,5,2.5,83.00,41.50,100,83.00
6/21/23,General Food,7,22,3.1,592.43,84.63,100,592.43
6/21/23,Household,1,1,1,7.99,7.99,100,7.99
6/21/23,Meat/Fish,2,2,1,20.00,10.00,100,20.00
6/22/23,Drinks,4,9,2.3,204.00,51.00,100,204.00
6/22/23,General Food,13,75,5.8,1699.81,130.75,100,1699.81
6/22/23,Meat/Fish,2,3,1.5,30.00,15.00,100,30.00
6/22/23,Snacks,2,6,3,5.50,2.75,100,5.50
6/23/23,Drinks,1,4,4,159.98,159.98,100,159.98
6/23/23,General Food,9,41,4.6,580.13,64.45,100,580.13
6/23/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/23/23,Snacks,1,4,4,2.00,2.00,100,2.00
6/24/23,Condiments,1,2,2,3.00,3.00,100,3.00
6/24/23,Drinks,1,3,3,119.99,119.99,100,119.99
6/24/23,General Food,9,28,3.1,634.99,70.55,100,634.99
6/24/23,Meat/Fish,4,21,5.3,310.00,77.50,100,310.00
6/26/23,Cleaning&body,1,4,4,20.00,20.00,100,20.00
6/26/23,Drinks,1,3,3,119.99,119.99,100,119.99
6/26/23,General Food,6,19,3.2,269.02,44.83,100,269.02
6/26/23,Meat/Fish,1,2,2,40.00,40.00,100,40.00
6/26/23,Pinless Recharge,1,1,1,11.00,11.00,0,0.00
6/27/23,Drinks,1,2,2,79.99,79.99,100,79.99
6/27/23,General Food,12,57,4.8,1058.68,88.22,100,1058.68
6/27/23,Meat/Fish,2,4,2,70.00,35.00,100,70.00
6/28/23,General Food,3,22,7.3,85.86,28.62,100,85.86
6/28/23,Meat/Fish,1,1,1,16.00,16.00,100,16.00
6/29/23,General Food,4,18,4.5,145.37,36.34,100,145.37
6/29/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/30/23,General Food,10,43,4.3,325.18,32.51,100,325.18
6/30/23,Meat/Fish,1,5,5,100.00,100.00,100,100.00
7/1/23,Cleaning&body,1,3,3,3.00,3.00,0,0.00
7/1/23,Drinks,1,1,1,40.00,40.00,100,40.00
7/1/23,General Food,12,59,4.9,952.52,79.37,98,932.52
7/1/23,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
7/2/23,General Food,3,8,2.7,77.96,25.98,100,77.96
7/2/23,Meat/Fish,2,2,1,30.00,15.00,100,30.00
7/2/23,Snacks,1,1,1,0.04,0.04,0,0.00
7/3/23,Drinks,1,1,1,40.00,40.00,100,40.00
7/3/23,General Food,8,26,3.3,524.39,65.54,100,524.39
7/3/23,Meat/Fish,1,3,3,60.00,60.00,100,60.00
7/4/23,Condiments,1,1,1,1.50,1.50,100,1.50
7/4/23,Drinks,3,3,1,119.99,39.99,100,119.99
7/4/23,General Food,18,103,5.7,1906.84,105.93,100,1906.84
7/4/23,Household,1,1,1,15.99,15.99,100,15.99
7/4/23,Meat/Fish,4,7,1.8,130.00,32.50,100,130.00
7/4/23,Pinless Recharge,2,2,1,15.00,7.50,0,0.00
7/4/23,Snacks,3,11,3.7,6.00,2.00,100,6.00
7/5/23,Drinks,1,1,1,39.99,39.99,100,39.99
7/5/23,General Food,3,19,6.3,185.94,61.98,100,185.94
7/5/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
7/6/23,Clothes,2,3,1.5,30.00,15.00,100,30.00
7/6/23,Drinks,2,3,1.5,41.99,20.99,100,41.99
7/6/23,Frozen,1,2,2,16.00,16.00,0,0.00
7/6/23,General Food,12,61,5.1,1400.92,116.74,100,1400.92
7/6/23,Meat/Fish,4,4,1,70.00,17.50,100,70.00
7/6/23,Snacks,3,11,3.7,11.51,3.83,91,11.50
7/7/23,Cleaning&body,1,1,1,5.00,5.00,100,5.00
7/7/23,Drinks,2,2,1,79.98,39.99,100,79.98
7/7/23,General Food,10,46,4.6,751.13,75.11,100,751.13
7/8/23,Drinks,2,2,1,79.99,39.99,100,79.99
7/8/23,General Food,12,58,4.8,611.58,50.96,100,611.58
7/8/23,Meat/Fish,4,6,1.5,100.00,25.00,100,100.00
7/8/23,Snacks,2,8,4,2.25,1.12,100,2.25
7/9/23,Drinks,1,1,1,9.00,9.00,100,9.00
7/9/23,General Food,4,21,5.3,369.39,92.34,100,369.39
7/9/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
7/10/23,Condiments,1,1,1,1.50,1.50,100,1.50
7/10/23,Drinks,2,2,1,40.99,20.49,100,40.99
7/10/23,General Food,16,73,4.6,1191.05,74.44,100,1191.05
7/10/23,Meat/Fish,3,3,1,50.00,16.66,100,50.00
7/11/23,Cleaning&body,1,5,5,50.00,50.00,100,50.00
7/11/23,Drinks,3,4,1.3,120.98,40.32,100,120.98
7/11/23,General Food,13,66,5.1,1476.57,113.58,100,1476.57
7/11/23,Household,1,1,1,4.00,4.00,100,4.00
7/11/23,Meat/Fish,3,8,2.7,105.00,35.00,100,105.00
7/11/23,Pinless Recharge,1,1,1,16.00,16.00,0,0.00
7/11/23,Snacks,2,2,1,1.25,0.62,100,1.25
7/12/23,General Food,9,68,7.6,633.63,70.40,100,633.63
7/12/23,Household,1,1,1,15.99,15.99,100,15.99
7/12/23,Meat/Fish,1,2,2,20.00,20.00,100,20.00
7/13/23,Cleaning&body,1,1,1,2.00,2.00,100,2.00
7/13/23,Condiments,2,4,2,6.00,3.00,100,6.00
7/13/23,Drinks,1,1,1,40.00,40.00,100,40.00
7/13/23,General Food,8,40,5,311.30,38.91,100,311.30
7/13/23,Meat/Fish,1,3,3,60.00,60.00,100,60.00
7/13/23,Service Fees,1,1,1,55.00,55.00,100,55.00
7/14/23,Drinks,2,2,1,79.98,39.99,100,79.98
7/14/23,General Food,13,70,5.4,792.29,60.94,100,792.29
7/14/23,Household,1,1,1,7.99,7.99,100,7.99
7/14/23,Meat/Fish,3,4,1.3,80.00,26.66,100,80.00
7/14/23,Snacks,1,1,1,5.00,5.00,100,5.00
7/15/23,Drinks,1,3,3,41.99,41.99,100,41.99
7/15/23,General Food,14,88,6.3,1302.35,93.02,100,1302.35
7/15/23,Meat/Fish,2,2,1,40.00,20.00,100,40.00
7/15/23,Snacks,1,1,1,3.50,3.50,0,0.00
7/16/23,General Food,1,2,2,55.98,55.98,100,55.98
7/16/23,Meat/Fish,1,2,2,40.00,40.00,100,40.00
7/17/23,Condiments,1,2,2,3.00,3.00,100,3.00
7/17/23,Drinks,1,1,1,1.00,1.00,100,1.00
7/17/23,General Food,19,52,2.7,1118.68,58.87,100,1118.68
7/17/23,Meat/Fish,4,17,4.3,190.00,47.50,100,190.00
7/18/23,Cleaning&body,1,1,1,5.50,5.50,100,5.50
7/18/23,General Food,8,22,2.8,339.93,42.49,100,339.93
7/18/23,Meat/Fish,2,3,1.5,40.00,20.00,100,40.00
7/19/23,General Food,10,53,5.3,284.37,28.43,100,284.37
7/19/23,Household,1,1,1,7.99,7.99,100,7.99
7/19/23,Meat/Fish,2,4,2,70.00,35.00,100,70.00
7/19/23,Misc.,1,1,1,15.00,15.00,100,15.00
7/20/23,General Food,6,44,7.3,448.96,74.82,100,448.96
7/20/23,Household,1,1,1,7.99,7.99,100,7.99
7/20/23,Meat/Fish,2,4,2,80.00,40.00,100,80.00
7/21/23,Cleaning&body,1,1,1,3.00,3.00,100,3.00
7/21/23,General Food,8,22,2.8,287.88,35.98,100,287.88
7/21/23,Meat/Fish,2,2,1,25.00,12.50,100,25.00
7/21/23,Snacks,1,1,1,5.00,5.00,100,5.00
7/22/23,Cleaning&body,1,1,1,20.00,20.00,100,20.00
7/22/23,Condiments,1,10,10,15.00,15.00,100,15.00
7/22/23,General Food,18,49,2.7,679.60,37.75,100,679.60
7/22/23,Household,1,1,1,15.99,15.99,100,15.99
7/22/23,Meat/Fish,1,1,1,20.00,20.00,100,20.00
7/22/23,Snacks,1,6,6,12.00,12.00,100,12.00
7/23/23,General Food,2,10,5,247.95,123.97,100,247.95
7/23/23,Meat/Fish,3,5,1.7,80.00,26.66,100,80.00
7/23/23,Snacks,1,1,1,0.25,0.25,100,0.25
7/24/23,General Food,6,22,3.7,115.27,19.21,100,115.27
7/24/23,Meat/Fish,2,2,1,40.00,20.00,100,40.00
7/25/23,Cleaning&body,1,1,1,8.00,8.00,100,8.00
7/25/23,General Food,2,6,3,51.98,25.99,100,51.98
7/26/23,Condiments,1,2,2,3.00,3.00,100,3.00
7/26/23,Drinks,1,1,1,40.00,40.00,100,40.00
7/26/23,General Food,5,11,2.2,94.96,18.99,100,94.96
7/26/23,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
7/27/23,Condiments,2,6,3,27.50,13.75,83,7.50
7/27/23,General Food,5,27,5.4,261.29,52.25,100,261.29
7/27/23,Meat/Fish,3,4,1.3,96.46,32.15,75,40.00
7/27/23,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
7/28/23,Cleaning&body,1,1,1,8.00,8.00,100,8.00
7/28/23,General Food,9,28,3.1,175.83,19.53,100,175.83
7/28/23,Meat/Fish,1,1,1,20.00,20.00,0,0.00
7/29/23,Cleaning&body,2,2,1,18.00,9.00,100,18.00
7/29/23,General Food,10,47,4.7,410.36,41.03,100,410.36
7/29/23,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
7/31/23,General Food,10,43,4.3,1242.89,124.28,100,1242.89
7/31/23,Meat/Fish,6,7,1.2,110.00,18.33,100,110.00
7/31/23,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
7/31/23,Snacks,1,2,2,1.00,1.00,100,1.00
8/1/23,Clothes,1,2,2,80.00,80.00,100,80.00
8/1/23,General Food,3,7,2.3,84.47,28.15,100,84.47
8/1/23,Meat/Fish,3,11,3.7,200.00,66.66,100,200.00
8/2/23,Cleaning&body,1,1,1,8.00,8.00,100,8.00
8/2/23,General Food,3,27,9,199.88,66.62,100,199.88
