Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
6/3/24,Drinks,2,2,1,80.00,40.00,100,80.00
6/3/24,General Food,18,75,4.2,1904.46,105.80,100,1904.46
6/3/24,Meat/Fish,2,2,1,30.00,15.00,100,30.00
6/3/24,Snacks,1,4,4,1.00,1.00,100,1.00
6/4/24,Drinks,4,7,1.8,163.98,40.99,100,163.98
6/4/24,General Food,11,54,4.9,1520.00,138.18,100,1520.00
6/4/24,Household,1,1,1,7.99,7.99,100,7.99
6/4/24,Meat/Fish,1,5,5,145.00,145.00,100,145.00
6/4/24,Snacks,3,10,3.3,5.75,1.91,100,5.75
6/5/24,Cleaning&body,2,0,0,0.00,0.00,100,0.00
6/5/24,Drinks,8,8,1,206.97,25.87,100,206.97
6/5/24,General Food,21,115,5.5,2479.57,118.07,100,2479.57
6/5/24,Household,2,2,1,11.50,5.75,100,11.50
6/5/24,Meat/Fish,3,4,1.3,95.00,31.66,100,95.00
6/5/24,Snacks,2,4,2,12.50,6.25,75,2.50
6/5/24,Vitamins/Medicine,1,1,1,5.00,5.00,0,0.00
6/6/24,Cleaning&body,1,2,2,14.00,14.00,100,14.00
6/6/24,Dairy,1,1,1,35.00,35.00,0,0.00
6/6/24,Drinks,8,12,1.5,284.97,35.62,100,284.97
6/6/24,General Food,18,46,2.6,1478.54,82.14,100,1478.54
6/6/24,Meat/Fish,2,2,1,40.00,20.00,100,40.00
6/6/24,Snacks,1,1,1,0.25,0.25,100,0.25
6/7/24,Cleaning&body,2,3,1.5,43.69,21.84,100,43.69
6/7/24,Drinks,10,12,1.2,327.93,32.79,100,327.93
6/7/24,Frozen,1,1,1,109.00,109.00,0,0.00
6/7/24,General Food,23,103,4.5,1949.23,84.74,100,1949.23
6/7/24,Meat/Fish,1,4,4,60.00,60.00,100,60.00
6/8/24,Drinks,7,8,1.1,281.97,40.28,100,281.97
6/8/24,General Food,22,94,4.3,994.57,45.20,99,844.57
6/8/24,Household,1,1,1,7.99,7.99,100,7.99
6/8/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
6/8/24,Snacks,1,3,3,0.75,0.75,100,0.75
6/10/24,Drinks,3,4,1.3,119.98,39.99,100,119.98
6/10/24,General Food,9,32,3.6,415.78,46.19,100,415.78
6/10/24,Meat/Fish,2,2,1,40.00,20.00,100,40.00
6/10/24,Snacks,1,4,4,1.00,1.00,100,1.00
6/11/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
6/11/24,Drinks,5,5,1,161.98,32.39,100,161.98
6/11/24,General Food,17,90,5.3,1719.41,101.14,100,1719.41
6/11/24,Meat/Fish,3,3,1,65.00,21.66,100,65.00
6/11/24,Snacks,2,8,4,2.00,1.00,100,2.00
6/12/24,Drinks,2,2,1,79.98,39.99,100,79.98
6/12/24,General Food,13,44,3.4,870.09,66.93,100,870.09
6/12/24,Household,2,2,1,5.49,2.74,100,5.49
6/12/24,Meat/Fish,2,6,3,150.00,75.00,100,150.00
6/12/24,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
6/13/24,General Food,8,26,3.3,304.87,38.10,100,304.87
6/13/24,Meat/Fish,1,1,1,25.00,25.00,100,25.00
6/14/24,Cleaning&body,3,3,1,43.00,14.33,100,43.00
6/14/24,Drinks,4,10,2.5,247.99,61.99,100,247.99
6/14/24,General Food,18,72,4,1844.58,102.47,100,1844.58
6/14/24,Snacks,1,2,2,0.50,0.50,100,0.50
6/15/24,Cleaning&body,1,2,2,30.00,30.00,100,30.00
6/15/24,Frozen,1,2,2,11.98,11.98,100,11.98
6/15/24,General Food,12,42,3.5,714.94,59.57,100,714.94
6/15/24,Household,1,1,1,7.00,7.00,100,7.00
6/17/24,Drinks,1,4,4,8.00,8.00,100,8.00
6/17/24,General Food,8,21,2.6,680.88,85.11,95,645.88
6/18/24,Drinks,1,3,3,119.99,119.99,100,119.99
6/18/24,General Food,9,37,4.1,619.06,68.78,100,619.06
6/19/24,Drinks,1,2,2,70.99,70.99,100,70.99
6/19/24,General Food,10,65,6.5,1395.19,139.51,100,1395.19
6/19/24,Meat/Fish,2,2,1,30.00,15.00,100,30.00
6/20/24,Drinks,3,7,2.3,52.00,17.33,100,52.00
6/20/24,General Food,8,69,8.6,1015.87,126.98,100,1015.87
6/20/24,Meat/Fish,1,1,1,25.00,25.00,100,25.00
6/20/24,Snacks,2,8,4,2.00,1.00,100,2.00
6/21/24,Drinks,4,10,2.5,58.00,14.50,100,58.00
6/21/24,General Food,11,59,5.4,621.91,56.53,100,621.91
6/22/24,General Food,6,26,4.3,302.40,50.40,100,302.40
6/22/24,Meat/Fish,1,1,1,25.00,25.00,100,25.00
6/22/24,Pasta/Rice,1,1,1,10.00,10.00,100,10.00
6/24/24,Drinks,1,2,2,80.00,80.00,100,80.00
6/24/24,General Food,4,10,2.5,403.88,100.97,100,403.88
6/24/24,Meat/Fish,2,2,1,40.00,20.00,100,40.00
6/25/24,General Food,5,20,4,330.81,66.16,90,314.81
6/26/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
6/26/24,Drinks,1,3,3,6.00,6.00,100,6.00
6/26/24,General Food,3,17,5.7,227.22,75.74,100,227.22
6/26/24,Snacks,1,4,4,1.00,1.00,100,1.00
6/27/24,Cleaning&body,1,1,1,20.00,20.00,100,20.00
6/27/24,Drinks,2,4,2,160.00,80.00,100,160.00
6/27/24,General Food,8,22,2.8,542.80,67.85,100,542.80
6/28/24,Drinks,2,52,26,180.00,90.00,100,180.00
6/28/24,General Food,7,68,9.7,473.22,67.60,100,473.22
6/29/24,Cleaning&body,1,2,2,40.00,40.00,100,40.00
6/29/24,Clothes,1,4,4,40.00,40.00,100,40.00
6/29/24,Frozen,1,2,2,11.40,11.40,100,11.40
6/29/24,General Food,12,33,2.8,287.96,23.99,100,287.96
6/29/24,Meat/Fish,2,2,1,58.50,29.25,100,58.50
7/1/24,Drinks,3,5,1.7,199.97,66.65,100,199.97
7/1/24,General Food,10,41,4.1,654.86,65.48,100,654.86
7/1/24,Pasta/Rice,1,1,1,19.90,19.90,100,19.90
7/2/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
7/2/24,Drinks,4,6,1.5,201.99,50.49,100,201.99
7/2/24,General Food,15,110,7.3,1745.66,116.37,100,1745.66
7/2/24,Meat/Fish,1,1,1,30.00,30.00,100,30.00
7/2/24,Snacks,3,11,3.7,46.50,15.50,91,4.50
7/3/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
7/3/24,Drinks,6,10,1.7,171.97,28.66,100,171.97
7/3/24,General Food,19,106,5.6,1120.17,58.95,100,1120.17
7/3/24,Meat/Fish,1,1,1,30.00,30.00,100,30.00
7/3/24,Snacks,5,13,2.6,9.99,1.99,100,9.99
7/4/24,General Food,1,4,4,15.96,15.96,100,15.96
7/5/24,Drinks,4,5,1.3,123.99,30.99,100,123.99
7/5/24,General Food,31,114,3.7,2202.02,71.03,100,2202.02
7/5/24,Meat/Fish,3,4,1.3,86.00,28.66,100,86.00
7/5/24,Snacks,1,1,1,0.25,0.25,100,0.25
7/6/24,Cleaning&body,1,1,1,15.69,15.69,100,15.69
7/6/24,Drinks,8,15,1.9,416.95,52.11,100,416.95
7/6/24,General Food,22,133,6,2478.44,112.65,99,2470.44
7/6/24,Meat/Fish,2,2,1,55.00,27.50,100,55.00
7/6/24,Snacks,1,1,1,0.50,0.50,100,0.50
7/7/24,Drinks,1,2,2,79.99,79.99,100,79.99
7/7/24,General Food,1,13,13,219.93,219.93,100,219.93
7/8/24,Cleaning&body,1,2,2,23.00,23.00,100,23.00
7/8/24,Clothes,2,2,1,80.00,40.00,100,80.00
7/8/24,Drinks,8,11,1.4,211.97,26.49,100,211.97
